id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
36,8.2,0.43,0.22,2.0,0.078,12.0,26.0,0.9964,3.17,0.59,9.8,5.0
37,7.5,0.59,0.25,2.7,0.072,22.0,84.0,0.99576,3.32,0.64,9.8,5.0
38,9.5,0.49,0.21,1.9,0.074,38.0,65.0,0.99576,3.16,0.55,9.5,5.0
39,9.1,0.48,0.41,2.3,0.08,19.0,53.0,0.99702,3.37,0.63,11.5,7.0
40,6.7,0.59,0.07,1.7,0.012,12.0,26.0,0.9964,3.41,0.6,11.9,7.0
41,9.1,0.46,0.3,2.3,0.079,5.0,10.0,0.9991,3.22,0.77,9.5,5.0
42,8.3,0.42,0.29,2.6,0.074,6.0,22.0,0.99685,3.32,0.56,9.9,4.0
43,9.2,0.48,0.29,1.9,0.071,5.0,16.0,0.9976,3.26,0.55,9.5,6.0
44,7.9,0.65,0.03,2.1,0.078,5.0,15.0,0.9952,3.52,0.57,10.5,6.0
45,5.8,0.735,0.0,1.8,0.066,9.0,22.0,0.99494,3.38,0.55,11.2,6.0
46,7.8,0.4,0.24,2.3,0.061,6.0,29.0,0.9965,3.37,0.57,10.3,4.0
47,6.4,0.43,0.02,2.0,0.076,28.0,52.0,0.9994,3.56,0.73,9.4,6.0
48,8.7,0.35,0.24,2.1,0.073,10.0,28.0,0.996,3.16,0.53,10.0,5.0
49,9.1,0.6,0.31,2.5,0.0819999999999999,19.0,58.0,0.9957,3.15,0.62,9.8,5.0
50,6.7,0.42,0.1,1.8,0.054,6.0,20.0,0.99685,3.29,0.77,11.0,6.0
51,9.0,0.48,0.32,2.5,0.096,16.0,85.0,0.9956,3.15,0.52,9.9,5.0
52,7.1,0.6,0.0,1.4,0.077,12.0,18.0,0.99655,3.6,0.52,11.7,6.0
53,6.8,0.4,0.01,2.0,0.073,5.0,13.0,0.9956,3.39,0.83,10.5,6.0
54,7.8,0.42,0.19,2.2,0.0819999999999999,21.0,44.0,0.99502,3.26,0.62,10.2,6.0
55,10.9,0.61,0.49,1.8,0.077,17.0,38.0,1.0015,3.15,0.64,9.5,5.0
56,8.9,0.46,0.39,1.6,0.084,12.0,42.0,0.9988,3.11,0.62,12.3,7.0
57,7.2,0.6,0.06,2.5,0.063,8.0,16.0,0.99538,2.94,0.65,10.9,5.0
58,7.7,0.47,0.26,2.2,0.066,6.0,16.0,0.99708,3.52,0.53,9.5,6.0
59,7.8,0.58,0.0,2.5,0.075,25.0,60.0,0.9988,3.43,0.62,10.0,7.0
60,7.9,0.58,0.08,2.3,0.092,27.0,42.0,0.9972,3.35,0.5,10.1,6.0
61,8.3,0.56,0.12,1.6,0.067,19.0,44.0,0.99622,3.38,0.66,9.3,6.0
62,8.6,0.35,0.45,2.1,0.076,27.0,52.0,0.99768,3.07,0.68,11.0,7.0
63,6.8,0.56,0.0,2.0,0.066,6.0,15.0,0.9978,3.56,0.52,9.5,6.0
64,6.7,0.33,0.31,2.2,0.079,18.0,32.0,0.99702,3.47,0.6,10.5,6.0
65,7.6,0.41,0.33,2.2,0.071,11.0,20.0,0.9978,3.45,0.59,9.8,6.0
66,6.3,0.52,0.24,2.0,0.074,15.0,47.0,0.9964,3.14,0.62,9.5,5.0
67,8.3,0.44,0.37,2.2,0.091,23.0,43.0,0.9982,3.45,0.53,11.6,6.0
68,9.2,0.38,0.36,2.3,0.075,5.0,14.0,0.99586,3.31,0.74,9.5,5.0
69,7.4,0.18,0.42,2.1,0.07,16.0,86.0,0.9962,3.35,0.55,9.9,5.0
70,7.0,0.61,0.0,2.1,0.093,13.0,20.0,0.99498,3.39,0.57,11.3,7.0
71,9.1,0.36,0.45,2.2,0.073,3.0,12.0,0.9981,3.27,0.64,12.5,7.0
72,8.6,0.35,0.45,1.6,0.077,4.0,13.0,0.9976,3.09,0.62,9.5,5.0
73,8.0,0.5,0.22,2.0,0.067,9.0,29.0,0.997,3.42,0.6,10.3,6.0
74,6.9,0.69,0.1,2.1,0.075,1.0,14.0,0.99562,3.4,0.58,11.6,7.0
75,7.5,0.58,0.27,2.1,0.066,6.0,18.0,0.99418,3.27,0.57,11.5,7.0
76,6.8,0.5,0.18,2.0,0.059,8.0,18.0,0.996,3.36,0.56,9.4,5.0
77,9.1,0.57,0.21,1.9,0.083,6.0,21.0,0.99552,3.31,0.62,11.2,7.0
78,7.3,0.27,0.39,1.5,0.078,38.0,55.0,0.99675,3.38,0.86,9.2,6.0
79,9.6,0.31,0.42,2.1,0.076,8.0,23.0,0.9976,3.32,0.58,9.6,6.0
80,6.5,0.52,0.07,1.9,0.078,9.0,18.0,0.99388,3.33,0.55,9.4,5.0
81,7.1,0.78,0.0,2.0,0.068,3.0,6.0,0.9976,3.39,0.64,9.8,6.0
82,8.9,0.51,0.26,2.8,0.077,7.0,43.0,0.9955,3.47,0.57,10.5,5.0
83,6.2,0.45,0.03,1.8,0.084,6.0,23.0,0.9988,3.46,0.55,11.3,7.0
84,7.6,0.48,0.24,2.3,0.0819999999999999,7.0,22.0,0.9962,3.39,0.63,9.6,5.0
85,7.1,0.6,0.0,1.6,0.0559999999999999,28.0,28.0,0.9972,3.32,0.56,9.9,6.0
86,8.1,0.78,0.21,2.2,0.091,4.0,16.0,0.99516,3.3,0.55,11.2,6.0
87,7.8,0.6,0.09,2.3,0.086,12.0,40.0,0.99746,3.33,0.74,11.8,8.0
88,11.3,0.39,0.54,2.5,0.08,21.0,52.0,0.99526,3.2,0.53,10.6,7.0
89,6.6,0.59,0.0,2.1,0.05,15.0,50.0,0.9967,3.2,0.48,11.5,7.0
90,12.5,0.29,0.57,2.5,0.067,6.0,17.0,0.99702,3.08,1.33,6.4,7.0
91,6.6,0.52,0.01,2.2,0.08,5.0,10.0,0.99552,3.49,0.55,11.1,7.0
92,6.7,0.59,0.02,2.8,0.0579999999999999,9.0,47.0,0.9971,3.44,0.45,9.9,5.0
93,7.0,0.42,0.22,2.2,0.074,7.0,17.0,0.99546,3.15,0.83,11.1,6.0
94,7.7,0.6,0.01,2.1,0.063,28.0,59.0,0.99576,3.42,0.82,9.2,5.0
95,7.4,0.34,0.43,2.1,0.08,19.0,47.0,0.9978,3.35,0.61,9.4,6.0
96,7.5,0.46,0.23,1.9,0.074,25.0,44.0,0.9982,3.22,0.74,9.7,6.0
97,7.1,0.52,0.16,1.7,0.104,22.0,62.0,0.9958,3.2,0.6,10.6,6.0
98,7.2,0.34,0.32,1.8,0.08,16.0,88.0,0.9984,3.44,0.76,9.2,5.0
99,7.4,0.34,0.24,1.9,0.077,3.0,9.0,0.9976,3.2,0.54,9.5,5.0
100,8.9,0.3,0.34,2.5,0.076,17.0,30.0,0.9991,3.21,0.77,10.1,7.0
101,7.1,0.58,0.0,2.2,0.08,6.0,32.0,0.99562,3.21,0.49,9.5,5.0
102,11.4,0.3,0.54,1.6,0.08,6.0,17.0,0.99547,3.19,0.82,9.4,3.0
103,10.0,0.35,0.46,2.1,0.073,6.0,17.0,0.9964,3.19,0.54,11.2,6.0
104,12.4,0.37,0.49,2.1,0.079,6.0,15.0,0.9964,3.28,0.67,9.9,4.0
105,7.0,0.51,0.0,1.8,0.066,5.0,15.0,0.99444,3.44,0.56,10.9,6.0
106,7.9,0.41,0.4,1.9,0.095,17.0,41.0,0.99562,3.35,0.79,10.3,7.0
107,7.3,0.735,0.12,1.8,0.084,10.0,22.0,0.9982,3.52,0.53,9.8,5.0
108,10.9,0.35,0.51,2.0,0.079,8.0,28.0,0.9982,3.25,0.48,12.7,7.0
109,7.3,0.34,0.31,2.7,0.095,34.0,72.0,0.9962,3.25,1.31,10.9,6.0
110,7.2,0.33,0.36,1.4,0.073,17.0,42.0,0.997,3.22,0.57,9.8,5.0
111,6.7,0.51,0.24,2.0,0.077,28.0,61.0,0.99656,3.41,0.61,11.5,6.0
112,8.0,0.3,0.32,1.8,0.075,6.0,17.0,0.9972,3.54,0.55,9.9,5.0
113,6.5,0.64,0.0,1.8,0.0819999999999999,5.0,15.0,0.99588,3.41,0.64,9.2,6.0
114,8.0,0.27,0.42,3.2,0.071,18.0,40.0,0.99492,3.3,0.48,11.0,6.0
115,7.5,0.61,0.04,2.2,0.074,21.0,27.0,0.9958,3.36,0.77,9.5,5.0
116,5.6,0.74,0.0,2.0,0.088,26.0,42.0,1.0014,3.41,0.51,9.5,3.0
117,10.2,0.39,0.26,2.2,0.08,3.0,8.0,0.9962,3.3,0.8,10.8,6.0
118,6.9,0.39,0.24,2.1,0.071,24.0,44.0,0.9969,3.45,0.57,9.0,5.0
119,7.8,0.74,0.29,2.7,0.081,16.0,72.0,0.9961,3.18,0.57,9.7,5.0
120,7.0,0.6,0.21,2.8,0.091,12.0,119.0,0.99552,3.42,0.67,9.7,5.0
121,7.6,0.63,0.02,2.7,0.08,16.0,47.0,0.99538,3.4,0.54,10.9,5.0
122,9.4,0.42,0.49,2.5,0.077,4.0,11.0,0.9972,3.29,0.77,10.2,6.0
123,7.2,0.63,0.24,2.2,0.094,15.0,89.0,0.99615,3.31,0.6,9.9,6.0
124,6.1,0.5,0.0,2.0,0.081,27.0,44.0,0.995,3.41,0.69,11.7,6.0
125,7.1,0.61,0.31,2.6,0.077,25.0,44.0,0.9983,3.14,0.68,11.3,6.0
126,10.0,0.54,0.24,2.0,0.068,5.0,32.0,0.9973,3.36,0.65,10.4,5.0
127,7.6,0.61,0.04,2.2,0.077,9.0,24.0,0.995,3.3,0.74,9.2,6.0
128,9.2,0.5,0.44,2.2,0.079,14.0,27.0,0.9981,3.32,0.58,9.5,6.0
129,8.6,0.47,0.24,1.9,0.073,19.0,42.0,0.9956,3.21,0.47,9.7,6.0
130,11.6,0.18,0.66,2.3,0.093,7.0,12.0,0.99258,3.08,0.57,11.1,5.0
131,10.0,0.32,0.34,1.8,0.091,6.0,14.0,0.9974,3.29,0.65,10.2,6.0
132,11.4,0.52,0.35,2.0,0.08,8.0,29.0,0.99524,3.32,0.78,10.0,6.0
133,8.7,0.43,0.5,2.3,0.0969999999999999,13.0,31.0,0.9976,3.2,0.55,12.2,7.0
134,6.4,0.65,0.08,1.9,0.076,21.0,62.0,0.9959,3.68,0.8,9.5,5.0
135,8.3,0.33,0.34,2.0,0.095,11.0,47.0,1.00015,3.37,0.69,11.2,6.0
136,12.6,0.35,0.49,2.6,0.092,36.0,121.0,0.9983,3.2,0.62,9.8,6.0
137,8.3,0.45,0.13,1.8,0.068,6.0,14.0,0.9948,3.36,0.55,12.4,6.0
138,6.6,0.5,0.14,2.4,0.078,10.0,35.0,0.99526,3.33,0.56,9.1,5.0
139,8.1,0.49,0.24,2.5,0.054,31.0,65.0,0.9969,3.31,0.52,9.3,5.0
140,5.3,0.59,0.01,1.7,0.078,12.0,31.0,0.9968,3.36,0.6,12.0,7.0
141,12.5,0.38,0.53,2.1,0.086,6.0,16.0,0.9972,3.22,0.89,9.9,5.0
142,7.8,0.78,0.05,1.4,0.081,17.0,44.0,0.9968,3.44,0.59,9.5,5.0
143,6.3,0.84,0.0,1.8,0.08,28.0,66.0,0.99668,3.51,0.62,10.0,6.0
144,8.9,0.56,0.1,1.8,0.073,25.0,141.0,0.9994,3.39,0.6,9.3,5.0
145,7.8,0.53,0.14,2.4,0.0819999999999999,35.0,33.0,0.99458,3.16,0.77,10.4,6.0
146,9.3,0.6,0.22,1.7,0.076,11.0,28.0,0.9979,3.39,0.62,9.8,6.0
147,8.0,0.39,0.49,2.2,0.093,14.0,28.0,0.99736,3.2,0.59,9.8,5.0
148,7.8,0.57,0.24,1.5,0.076,10.0,25.0,0.9976,3.36,0.6,11.0,6.0
149,10.7,0.61,0.4,1.7,0.091,6.0,25.0,0.9996,3.42,0.9,11.4,6.0
150,7.2,0.6,0.0,1.9,0.05,26.0,51.0,0.99516,3.44,0.78,10.5,7.0
151,7.8,0.59,0.04,1.6,0.077,6.0,15.0,0.9958,3.26,0.6,9.4,5.0
152,7.7,0.6,0.0,2.6,0.066,5.0,10.0,0.9948,3.44,0.77,9.2,5.0
153,9.9,0.43,0.24,2.6,0.078,5.0,15.0,0.9962,3.27,0.69,9.8,6.0
154,7.2,0.42,0.26,1.4,0.074,7.0,31.0,0.9962,3.28,0.56,9.6,5.0
155,6.5,0.62,0.03,2.2,0.086,5.0,31.0,0.9962,3.34,0.61,11.2,7.0
156,7.7,0.69,0.02,2.2,0.06,15.0,27.0,0.9966,3.41,0.65,10.5,6.0
157,9.1,0.38,0.33,2.6,0.081,9.0,22.0,0.99586,3.28,0.58,12.1,6.0
158,7.9,0.62,0.06,2.5,0.0819999999999999,5.0,19.0,0.99774,3.36,0.74,9.2,5.0
159,7.9,0.56,0.02,1.8,0.07,11.0,24.0,0.99498,3.31,0.56,11.3,7.0
160,7.7,0.54,0.09,1.8,0.0819999999999999,27.0,60.0,0.9973,3.43,0.8,9.6,5.0
161,7.7,0.685,0.0,2.1,0.0969999999999999,16.0,26.0,0.9966,3.49,0.48,11.2,6.0
162,9.2,0.58,0.1,2.3,0.076,5.0,23.0,0.9952,3.34,0.51,9.4,5.0
163,7.3,0.935,0.03,1.9,0.086,10.0,16.0,0.9976,3.36,0.53,9.2,6.0
164,7.8,0.46,0.21,1.7,0.077,12.0,24.0,0.99562,3.28,0.62,9.5,6.0
165,13.4,0.39,0.42,2.4,0.1159999999999999,13.0,24.0,0.9973,3.26,0.55,10.9,5.0
166,8.0,0.735,0.24,2.6,0.071,12.0,32.0,0.99645,3.37,0.64,11.2,6.0
167,9.0,0.715,0.21,2.3,0.074,24.0,43.0,0.9994,3.32,0.68,11.5,6.0
168,8.2,0.39,0.41,1.7,0.103,3.0,9.0,0.9952,3.22,0.56,9.9,5.0
169,7.8,0.69,0.2,1.8,0.073,11.0,20.0,0.99586,3.35,0.55,9.8,6.0
170,8.1,0.31,0.29,2.5,0.066,11.0,24.0,0.9972,3.22,0.64,11.4,6.0
171,10.0,0.39,0.49,2.5,0.076,15.0,31.0,0.9967,3.38,0.57,9.6,6.0
172,8.3,0.59,0.23,2.3,0.072,10.0,27.0,0.99668,3.17,0.62,9.6,5.0
173,9.3,0.31,0.42,1.9,0.076,5.0,14.0,0.9994,3.22,0.73,10.5,5.0
174,8.8,0.37,0.45,2.3,0.07,18.0,44.0,0.99768,3.26,0.73,9.3,5.0
175,9.7,0.47,0.49,1.9,0.075,19.0,29.0,0.9967,3.17,0.66,10.1,5.0
176,8.8,0.715,0.22,2.2,0.077,12.0,47.0,0.9972,3.26,0.47,9.5,7.0
177,9.3,0.28,0.44,4.3,0.081,7.0,17.0,0.9988,3.28,0.63,9.4,6.0
178,6.7,0.68,0.0,2.5,0.077,7.0,17.0,0.99472,3.53,0.62,12.4,7.0
179,6.7,0.51,0.02,1.7,0.09,7.0,28.0,0.9986,3.25,0.53,9.4,6.0
180,8.4,0.39,0.38,2.9,0.065,4.0,8.0,0.9988,3.15,0.69,9.8,5.0
181,10.4,0.6,0.43,1.8,0.079,11.0,42.0,0.9976,3.27,0.66,11.6,6.0
182,7.3,0.6,0.04,2.1,0.077,17.0,44.0,0.99572,3.38,0.72,12.0,7.0
183,7.9,0.51,0.31,1.8,0.077,16.0,58.0,0.9988,3.35,0.52,10.0,6.0
184,6.7,0.52,0.02,1.8,0.09,10.0,28.0,0.99613,3.39,0.51,9.8,5.0
185,7.7,0.61,0.02,2.0,0.095,19.0,40.0,0.9976,3.28,0.53,10.1,5.0
186,7.0,0.59,0.07,1.9,0.084,7.0,18.0,0.9968,3.32,0.57,11.2,7.0
187,8.8,0.735,0.08,2.4,0.065,15.0,26.0,0.9956,3.22,0.65,9.8,6.0
188,5.3,0.58,0.08,1.8,0.098,6.0,28.0,0.99588,3.38,0.57,9.9,5.0
189,8.3,0.59,0.0,1.8,0.077,5.0,13.0,0.9974,3.56,0.58,9.3,6.0
190,7.0,0.59,0.0,2.2,0.078,14.0,20.0,0.9976,3.37,0.5,11.7,6.0
191,7.7,0.39,0.42,2.4,0.059,9.0,22.0,0.99694,3.22,0.58,11.5,5.0
192,7.9,0.58,0.0,1.8,0.086,5.0,12.0,0.9967,3.16,0.59,9.6,5.0
193,9.9,0.42,0.41,1.8,0.072,18.0,47.0,0.9988,3.38,0.58,9.5,6.0
194,9.8,0.47,0.34,2.6,0.077,32.0,48.0,0.9972,3.3,0.55,9.5,6.0
195,11.6,0.43,0.39,2.6,0.123,7.0,26.0,0.9973,3.15,0.87,10.5,7.0
196,7.4,0.41,0.43,2.4,0.102,16.0,35.0,0.9974,3.3,0.58,9.5,5.0
197,6.6,0.63,0.07,2.5,0.076,27.0,35.0,0.9956,3.44,0.64,12.0,6.0
198,6.7,0.745,0.0,2.2,0.095,30.0,141.0,0.9978,3.43,0.52,9.8,6.0
199,9.3,0.49,0.16,2.1,0.084,42.0,60.0,0.9964,3.3,0.62,10.8,6.0
200,7.0,0.715,0.12,2.4,0.06,22.0,48.0,0.99652,3.44,0.49,11.9,6.0
201,7.6,0.7,0.0,1.8,0.075,17.0,28.0,0.9962,3.39,0.78,9.7,5.0
202,8.3,0.615,0.15,2.4,0.091,18.0,27.0,0.9987,3.39,0.55,9.4,5.0
203,7.1,0.62,0.04,2.3,0.074,19.0,58.0,0.99746,3.32,0.73,9.5,6.0
204,7.3,0.36,0.24,1.7,0.078,13.0,28.0,0.99458,3.16,0.6,9.8,6.0
205,8.0,0.69,0.24,2.6,0.078,19.0,46.0,0.9972,3.28,0.61,9.4,6.0
206,10.8,0.37,0.47,2.0,0.178,14.0,28.0,0.9981,3.28,0.82,11.4,4.0
207,7.6,0.43,0.15,2.0,0.055,3.0,9.0,0.9969,3.39,0.57,9.6,5.0
208,8.8,0.34,0.3,1.8,0.102,6.0,17.0,0.9994,3.15,0.59,9.8,5.0
209,8.1,0.27,0.36,2.5,0.075,17.0,84.0,0.99396,3.26,0.72,9.4,5.0
210,9.9,0.42,0.3,1.8,0.073,6.0,14.0,0.9984,3.38,0.77,11.1,7.0
211,9.0,0.39,0.31,2.2,0.076,5.0,23.0,0.9971,3.19,0.59,9.9,5.0
212,6.5,0.56,0.23,2.2,0.077,7.0,14.0,0.9988,3.3,0.51,10.7,7.0
213,11.3,0.31,0.48,2.8,0.074,32.0,64.0,0.9986,3.28,0.71,9.2,5.0
214,7.8,0.41,0.24,1.6,0.0559999999999999,6.0,22.0,0.9968,3.21,0.63,9.2,5.0
215,9.8,0.67,0.09,1.8,0.067,6.0,28.0,0.9982,3.31,0.73,9.4,5.0
216,7.8,0.65,0.03,2.4,0.073,12.0,26.0,0.99672,3.44,0.54,9.5,6.0
217,9.3,0.58,0.3,2.2,0.071,24.0,57.0,0.99615,3.31,0.55,10.9,5.0
218,7.0,0.32,0.39,2.1,0.079,5.0,15.0,0.99688,3.21,0.59,12.7,7.0
219,9.8,0.6,0.45,3.0,0.087,10.0,24.0,0.9976,3.32,0.61,10.9,6.0
220,8.9,0.52,0.24,2.1,0.06,14.0,86.0,0.99724,3.08,0.59,9.6,6.0
221,7.6,0.38,0.49,2.5,0.067,18.0,28.0,0.99682,3.42,0.49,9.1,5.0
222,6.6,0.4,0.0,1.9,0.088,10.0,23.0,0.99397,3.49,0.55,9.5,4.0
223,6.3,0.69,0.02,3.0,0.077,16.0,66.0,0.9969,3.38,0.74,12.8,6.0
224,7.7,0.67,0.05,2.4,0.078,14.0,18.0,0.9968,3.39,0.59,10.0,7.0
225,8.2,0.62,0.03,1.6,0.07,13.0,46.0,0.99704,3.52,0.6,10.7,6.0
226,11.3,0.42,0.53,2.0,0.094,5.0,16.0,0.9988,3.26,0.79,10.0,5.0
227,10.0,0.5,0.49,2.2,0.054,15.0,42.0,0.9976,3.31,0.65,12.2,7.0
228,11.9,0.57,0.44,1.8,0.074,8.0,28.0,0.9965,3.27,0.85,10.0,6.0
229,8.1,0.44,0.24,2.7,0.084,16.0,59.0,0.9967,3.28,0.5,9.3,6.0
230,8.2,0.645,0.34,3.0,0.084,3.0,10.0,0.9978,3.47,0.6,12.6,6.0
231,7.2,0.5,0.24,2.0,0.087,17.0,58.0,0.9973,3.52,0.72,9.3,6.0
232,6.7,0.63,0.1,2.0,0.077,34.0,85.0,0.99628,3.47,0.53,10.9,6.0
233,6.8,0.69,0.0,2.4,0.09,6.0,31.0,0.997,3.61,0.54,9.4,6.0
234,6.8,0.57,0.02,2.3,0.0819999999999999,9.0,19.0,0.99727,3.48,0.54,9.5,6.0
235,7.4,0.84,0.01,2.1,0.048,17.0,44.0,0.9948,3.42,0.48,10.4,5.0
236,8.0,0.57,0.06,2.0,0.081,7.0,28.0,0.9963,3.28,0.62,10.0,6.0
237,7.2,0.31,0.39,2.3,0.084,27.0,60.0,0.9968,3.31,0.56,9.5,6.0
238,8.2,0.41,0.3,2.2,0.087,17.0,40.0,0.9964,3.2,0.77,11.3,6.0
239,7.1,0.54,0.25,2.2,0.067,17.0,84.0,0.99648,3.34,0.54,9.5,5.0
240,7.7,0.62,0.31,2.0,0.087,6.0,16.0,0.9972,3.23,0.64,10.0,6.0
241,8.0,0.31,0.39,2.4,0.0819999999999999,19.0,57.0,0.9994,3.03,0.69,9.5,6.0
242,7.5,0.41,0.3,1.9,0.091,9.0,22.0,0.99546,3.26,0.72,9.8,5.0
243,8.3,0.52,0.24,4.6,0.088,14.0,45.0,0.9958,3.22,0.49,10.9,4.0
244,8.2,0.63,0.04,2.2,0.078,10.0,20.0,0.9988,3.28,0.6,9.4,8.0
245,5.3,0.42,0.36,2.2,0.077,15.0,47.0,0.9974,3.41,0.74,10.5,8.0
246,7.5,0.53,0.09,2.0,0.069,7.0,43.0,0.99448,3.3,0.49,9.0,5.0
247,8.7,0.38,0.29,3.0,0.0579999999999999,5.0,19.0,0.9968,3.22,0.62,10.4,6.0
248,7.1,0.6,0.07,2.0,0.078,17.0,30.0,0.9972,3.39,0.47,10.3,7.0
249,7.7,0.6,0.03,2.5,0.0819999999999999,15.0,21.0,0.9972,3.36,0.54,9.9,6.0
250,8.7,0.48,0.27,2.0,0.069,32.0,70.0,0.9964,3.19,0.58,9.2,5.0
251,9.4,0.51,0.36,2.6,0.081,9.0,20.0,0.9986,3.23,0.64,11.8,7.0
252,11.9,0.34,0.44,2.4,0.084,6.0,16.0,0.99702,3.3,0.74,10.8,6.0
253,7.2,0.56,0.18,2.1,0.077,21.0,38.0,0.9976,3.12,0.56,10.4,6.0
254,10.2,0.43,0.53,2.1,0.098,18.0,43.0,0.9981,3.21,0.84,10.1,6.0
255,12.2,0.69,0.04,2.9,0.078,11.0,24.0,0.9976,3.22,0.47,10.4,6.0
256,8.0,0.43,0.47,2.8,0.078,9.0,21.0,0.99668,3.15,0.61,9.6,5.0
257,6.9,0.6,0.04,2.3,0.0819999999999999,3.0,15.0,0.99652,3.51,0.55,9.5,6.0
258,9.9,0.645,0.26,2.3,0.073,6.0,31.0,0.9976,3.32,0.65,9.4,6.0
259,8.2,0.5,0.49,2.0,0.071,12.0,28.0,0.9973,3.23,0.56,9.4,5.0
260,8.3,0.46,0.21,1.9,0.089,7.0,15.0,0.99704,3.21,0.57,9.5,6.0
261,7.9,0.62,0.02,2.0,0.075,16.0,44.0,0.9973,3.39,0.61,11.4,7.0
262,7.7,0.65,0.14,1.7,0.059,16.0,91.0,0.99498,3.43,0.54,9.5,6.0
263,11.9,0.35,0.41,2.2,0.073,6.0,44.0,0.9994,3.24,0.71,9.4,5.0
264,6.4,0.39,0.24,2.0,0.071,11.0,77.0,0.9973,3.54,0.57,10.1,7.0
265,12.8,0.26,0.46,2.2,0.087,8.0,21.0,0.99689,3.29,0.53,9.3,5.0
266,7.3,0.66,0.0,2.2,0.089,36.0,65.0,0.9968,3.34,0.53,9.8,5.0
267,6.3,0.64,0.0,1.7,0.074,23.0,63.0,0.99569,3.44,0.62,9.3,4.0
268,6.6,0.58,0.02,2.0,0.084,3.0,15.0,0.99748,3.55,0.49,9.3,6.0
